name,label,base,overlay,position,sizeMode,x,y,unit,subSize,rotate,opacity
microscope-pill,Microscope Pill,microscope,pill,s-33,medium,-0.22,-0.22,%,0.42,0deg,1
petri-skull,Petri Skull,petri-dish,skull,s-44,medium,0,0,%,0.48,0deg,1
ghost-folder-open,Ghost Folder,folder-open,ghost,s-53,small,0.24,-0.15,%,0.38,0deg,1
crown-burger,Crown Burger,burger,crown,s-56,small,0.44,0.22,%,0.4,0deg,1
frog-soda,Frog Soda,soda,frog,s-44,medium,0,0,%,0.48,0deg,1
poop-box,Poop Box,box,poop,s-67,small,0.27,0.05,%,0.36,0deg,1
sparkle-camera,Sparkle Camera,camera,sparkles,s-55,small,-0.22,-0.2,%,0.38,0deg,1
battery-heart,Battery Heart,battery,heart,s-44,medium,0,0,%,0.48,0deg,1
lightning-cloud,Lightning Cloud,cloud,lightning,s-44,medium,0,0,%,0.5,0deg,1
ice-laptop,Ice Laptop,laptop,ice,s-44,medium,0,0,%,0.44,0deg,1
gamepad-fire,Gamepad Fire,gamepad,fire,s-53,medium,-0.22,0.22,%,0.44,0deg,1
book-bomb,Book Bomb,books,bomb,s-56,small,0.44,0.22,%,0.4,0deg,1
printer-ghost,Printer Ghost,printer,ghost,s-44,medium,0,-0.03,%,0.46,0deg,1
shield-phone,Shield Phone,phone,shield,s-44,medium,0,0.01,%,0.48,0deg,1
robot-tv,Robot TV,tv,robot,s-44,small,0.02,0.02,%,0.4,0deg,1
calendar-bomb,Calendar Bomb,calendar,bomb,s-56,small,0.44,0.22,%,0.4,-12deg,1
cheese-trap,Cheese Trap,rat,cheese,s-33,small,-0.22,-0.22,%,0.36,0deg,1
headphones-fire,Headphones Fire,headphones,fire,s-53,medium,-0.22,0.22,%,0.42,-12deg,1
printer-dna,Printer DNA,printer,dna,s-44,medium,0,-0.02,%,0.44,0deg,1
floppy-ghost,Floppy Ghost,floppy-disk,ghost,s-44,medium,0.01,0.06,%,0.42,0deg,1
mailbox-sparkles,Mailbox Sparkles,mailbox,sparkles,s-55,small,-0.2,-0.18,%,0.38,0deg,1
satellite-eye,Satellite Eye,satellite,eye,s-44,medium,0,-0.02,%,0.42,0deg,1
toolbox-magnet,Toolbox Magnet,toolbox,magnet,s-44,medium,0,0.04,%,0.42,-12deg,1
coffee-heart,Coffee Heart,coffee,heart,s-44,small,0.02,-0.02,%,0.4,0deg,1
syringe-skull,Syringe Skull,syringe,skull,s-33,small,-0.22,-0.22,%,0.4,0deg,1
lotion-biohazard,Lotion Hazard,lotion,biohazard,s-44,medium,0,0.06,%,0.42,0deg,1
bubble-tea-brain,Bubble Brain,bubble-tea,brain,s-44,medium,0,0.05,%,0.42,0deg,1
sparkle-folder,Sparkle Folder,folder,sparkles,s-55,small,-0.24,-0.22,%,0.32,0deg,1
fire-folder,Fire Folder,folder,fire,s-53,small,0.24,-0.14,%,0.38,-12deg,1
warning-box,Warning Box,box,warning,s-67,small,0.28,0.05,%,0.34,0deg,1
ghost-box,Ghost Box,box,ghost,s-67,small,0.28,0.05,%,0.36,0deg,1
star-bottle,Star Bottle,bottle,star,s-44,small,0,0.1,%,0.38,0deg,1
heart-bottle,Heart Bottle,bottle,heart,s-44,small,0,0.1,%,0.38,0deg,1
sparkle-laptop,Sparkle Laptop,laptop,sparkles,s-55,small,-0.24,-0.22,%,0.32,0deg,1
alien-tv,Alien TV,tv,alien,s-44,small,0.02,0.03,%,0.38,0deg,1
key-folder,Key Folder,folder,key,s-53,small,0.24,-0.15,%,0.34,0deg,1
crown-box,Crown Box,box,crown,s-67,small,0.28,0.04,%,0.31,0deg,1
brain-bottle,Brain Bottle,bottle,brain,s-44,small,0,0.1,%,0.4,0deg,1
sparkle-bucket,Sparkle Bucket,bucket,sparkles,s-55,small,-0.2,-0.18,%,0.36,0deg,1
